id,descricao,ordem,categoria_id
1,O professor segue os passos da ROTINA,1,1
2,Acolhe as crianças como sugerido nas sequências didáticas,2,1
3,"No momento da Rodinha, faz a escuta e permite que as crianças se expressem",3,1
4,"No momento da Rodinha, consegue desenvolver o roteiro sugerido na Rotina Comentada",4,1
5,"Na Hora da História, faz uso de livros impressos",5,1
6,"Na Hora da História, consegue reter a atenção das crianças",6,1
7,O (a) professor (a) demonstra conhecer a história que está lendo para as crianças,7,1
8,"O Momento Criativo Investigativo é iniciado de forma lúdica, contemplando o brincar, a experimentação e a investigação",8,1
9,O Momento Criativo Investigativo está sendo desenvolvido de acordo com o planejamento,9,1
10,"No Momento Criativo Investigativo a (o) professora(o) propõe atividades desafiadoras, considerando a faixa etária das crianças e o nível de desenvolvimento",10,1
11,A Atividade Externa acontece SEMPRE fora da sala de aula,11,1
12,A Atividade Externa contempla as interações e brincadeiras,12,1
13,A EMEI/Escola que tem parque faz uso do mesmo diariamente,13,1
14,O (a) professor (a) registra as observações feitas na Atividade Externa,14,1
15,A Retomada do Momento Criativo Investigativo está relacionada com o que foi trabalhado no Momento anterior,15,1
16,"A retomada do Momento Criativo Investigativo é iniciada de forma lúdica, contemplando o brincar, a experimentação e a investigação",16,2
17,A Retomada do Momento Criativo Investigativo oportuniza às crianças atividades significativas,17,2
18,Organiza com as crianças o ambiente após o seu uso,18,2
19,Incentiva as crianças a cuidarem dos seus materiais pessoais,19,2
20,Realizam os momentos de higiene com as crianças,20,2
21,Os momentos de relaxamento acontecem diariamente,21,2
22,"Nos dias que tem para casa, acontece as orientações ",22,2
23,A professora/o foi pontual no início e término da aula,23,2
